n,p,time
600,1,0.135053
1200,1,0.74125
1800,1,2.2449
2400,1,8.23994
3600,1,24.2101
7200,1,179.46
600,2,0.120345
1200,2,2.59396
1800,2,1.34121
2400,2,7.06561
3600,2,18.9678
7200,2,147.041
600,3,0.162753
1200,3,2.57553
1800,3,1.78762
2400,3,9.18429
3600,3,31.4241
7200,3,212.339
600,4,0.112237
1200,4,2.77327
1800,4,1.91779
2400,4,7.95647
3600,4,25.2977
7200,4,178.124
600,6,0.0964849
1200,6,2.49676
1800,6,1.70396
2400,6,6.53057
3600,6,26.281
7200,6,175.627
600,8,0.0590091
1200,8,2.31821
1800,8,2.804
2400,8,9.90271
3600,8,26.8266
7200,8,169.387
600,12,0.057632
1200,12,2.59817
1800,12,1.83768
2400,12,5.94577
3600,12,21.0441
7200,12,180.708
600,24,0.0882769
1200,24,0.946806
1800,24,3.17733
2400,24,10.4453
3600,24,34.753
7200,24,209.134
