n,p,time
600,24,0.194577
1200,24,0.82554
1800,24,2.50165
2400,24,6.54634
3600,24,24.0186
7200,24,190.167
600,24,0.148169
1200,24,0.712474
1800,24,2.06133
2400,24,8.61587
3600,24,24.9565
7200,24,184.216
600,24,0.202515
1200,24,0.896303
1800,24,2.30595
2400,24,9.52139
3600,24,25.3321
7200,24,169.57
600,24,0.147401
1200,24,0.535849
1800,24,2.45462
2400,24,9.00316
3600,24,26.1183
7200,24,173.448
600,24,0.124707
1200,24,2.61126
1800,24,1.80769
2400,24,6.3414
3600,24,23.4873
7200,24,189.734
600,24,0.135402
1200,24,0.81464
1800,24,1.4208
2400,24,6.58868
3600,24,26.4074
7200,24,174.922
600,24,0.265092
1200,24,0.775886
1800,24,1.36786
2400,24,8.28806
3600,24,22.9942
7200,24,167.057
600,24,0.149042
1200,24,0.69595
1800,24,2.02622
2400,24,9.08861
3600,24,23.6242
7200,24,171.821
